id	name_en	name_it
384	Côte d'Ivoire	Costa d'Avorio
388	Jamaica	Giamaica
392	Japan	Giappone
398	Kazakhstan	Kazakistan
400	Jordan	Giordania
404	Kenya	Kenya
408	Korea, Democratic People's Republic of	Corea del Nord
410	Korea, Republic of	Corea del Sud
414	Kuwait	Kuwait
417	Kyrgyzstan	Kirghizistan
418	Lao People's Democratic Republic	Repubblica popolare democratica del Laos
422	Lebanon	Libano
426	Lesotho	Lesotho
428	Latvia	Lettonia
430	Liberia	Liberia
434	Libya	Libia
438	Liechtenstein	Liechtenstein
440	Lithuania	Lituania
442	Luxembourg	Lussemburgo
446	Macau	Macao
450	Madagascar	Madagascar
454	Malawi	Malawi
458	Malaysia	Malaysia
462	Maldives	Maldive
466	Mali	Mali
470	Malta	Malta
474	Martinique	Martinica
478	Mauritania	Mauritania
480	Mauritius	Mauritius
484	Mexico	Messico
492	Monaco	Monaco
496	Mongolia	Mongolia
498	Moldova, Republic of	Moldavia
499	Montenegro	Montenegro
500	Montserrat	Montserrat
504	Morocco	Marocco
508	Mozambique	Mozambico
512	Oman	Oman
516	Namibia	Namibia
520	Nauru	Nauru
524	Nepal	Nepal
528	Netherlands	Paesi Bassi (Olanda)
531	Curaçao	Curaçao
533	Aruba	Aruba
534	Sint Maarten (Dutch part)	Sint Maarten (parte olandese)
535	Bonaire, Sint Eustatius and Saba	Bonaire, Sint Eustatius e Saba
540	New Caledonia	Nuova Caledonia
548	Vanuatu	Vanuatu
554	New Zealand	Nuova Zelanda
558	Nicaragua	Nicaragua
562	Niger	Niger
566	Nigeria	Nigeria
570	Niue	Niue
574	Norfolk Island	Isola di Norfolk
578	Norway	Norvegia
580	Northern Mariana Islands	Isole Marianne Settentrionali
581	United States Minor Outlying Islands	Isole minori esterne degli Stati Uniti d'America
583	Micronesia, Federated States of	Stati Federati di Micronesia
584	Marshall Islands	Isole Marshall
585	Palau	Palau
586	Pakistan	Pakistan
591	Panama	Panama
598	Papua New Guinea	Papua Nuova Guinea
600	Paraguay	Paraguay
604	Peru	Perù
608	Philippines	Filippine
612	Pitcairn	Pitcairn
616	Poland	Polonia
620	Portugal	Portogallo
624	Guinea-Bissau	Guinea-Bissau
626	Timor-Leste	Timor Est
630	Puerto Rico	Puerto Rico
634	Qatar	Qatar
638	Réunion	Riunione
642	Romania	Romania
643	Russian Federation	Russia, Federazione Russa
646	Rwanda	Ruanda
652	Saint Barthélemy	Saint-Barthélemy
654	Saint Helena, Ascension and Tristan da Cunha	Sant'Elena, Ascensione e Tristan da Cunha
659	Saint Kitts and Nevis	Saint Kitts e Nevis
660	Anguilla	Anguilla
662	Saint Lucia	Santa Lucia
663	Saint Martin (French part)	San Martino
666	Saint Pierre and Miquelon	Saint-Pierre e Miquelon
670	Saint Vincent and the Grenadines	San Vincenzo e Grenadine
674	San Marino	San Marino
678	São Tomé and Príncipe	São Tomé e Príncipe
682	Saudi Arabia	Arabia Saudita
686	Senegal	Senegal
688	Serbia	Serbia
690	Seychelles	Seychelles
694	Sierra Leone	Sierra Leone
702	Singapore	Singapore
703	Slovakia	Slovacchia
704	Vietnam	Vietnam
705	Slovenia	Slovenia
706	Somalia	Somalia
710	South Africa	Sudafrica
716	Zimbabwe	Zimbabwe
724	Spain	Spagna
728	South Sudan	Sudan del Sud
729	Sudan	Sudan
732	Western Sahara	Sahara Occidentale
740	Suriname	Suriname
744	Svalbard and Jan Mayen	Svalbard e Jan Mayen
748	Swaziland	Swaziland
752	Sweden	Svezia
756	Switzerland	Svizzera
760	Syrian Arab Republic	Repubblica araba della Siria
762	Tajikistan	Tagikistan
764	Thailand	Tailandia
768	Togo	Togo
772	Tokelau	Tokelau
776	Tonga	Tonga
780	Trinidad and Tobago	Trinidad e Tobago
784	United Arab Emirates	Emirati Arabi Uniti
788	Tunisia	Tunisia
792	Turkey	Turchia
795	Turkmenistan	Turkmenistan
796	Turks and Caicos Islands	Turks e Caicos
798	Tuvalu	Tuvalu
800	Uganda	Uganda
804	Ukraine	Ucraina
807	Macedonia, the former Yugoslav Republic of	Macedonia
818	Egypt	Egitto
826	United Kingdom	Regno Unito
831	Guernsey	Guernsey
832	Jersey	Jersey
833	Isle of Man	Isola di Man
834	Tanzania, United Republic of	Tanzania
840	United States	Stati Uniti
850	Virgin Islands, U.S.	Isole vergini, U.S.
854	Burkina Faso	Burkina Faso
858	Uruguay	Uruguay
860	Uzbekistan	Uzbekistan
862	Venezuela, Bolivarian Republic of	Venezuela
876	Wallis and Futuna	Wallis e Futuna
882	Samoa	Samoa
887	Yemen	Yemen
894	Zambia	Zambia
